# k, experiment with shifted e, fit result * k**2
6.131725417439703563e+00,-1.369256241894431340e-02,-6.982871825698853951e-02
6.156771799628942610e+00,-1.363752782168542801e-02,-8.095194914392783714e-02
6.181818181818181657e+00,-1.348223594453643211e-02,-9.050759697966576089e-02
6.206864564007421592e+00,-1.316509624836956216e-02,-1.000734707256089179e-01
6.231910946196659751e+00,-1.274544542945581053e-02,-1.078707398473406215e-01
6.256957328385899686e+00,-1.217249102678149078e-02,-1.157560203892648437e-01
6.282003710575139621e+00,-1.147374088730053997e-02,-1.217348864775526646e-01
6.307050092764377780e+00,-1.065622659285768783e-02,-1.278581116006932417e-01
6.332096474953617715e+00,-9.713840570401855584e-03,-1.320044515333980983e-01
6.357142857142857650e+00,-8.754860366537916064e-03,-1.363258912768643694e-01
6.382189239332095809e+00,-7.773658949347907708e-03,-1.386687152377200360e-01
6.407235621521335744e+00,-6.736219941140840495e-03,-1.411899116914530072e-01
6.432282003710575680e+00,-5.601880233144833354e-03,-1.417977117849562319e-01
6.457328385899813838e+00,-4.474414137594565424e-03,-1.425597714504093783e-01
6.482374768089053774e+00,-3.362721150081139296e-03,-1.415362817642100146e-01
6.507421150278292821e+00,-2.239128215717008877e-03,-1.406163347387599238e-01
6.532467532467532756e+00,-1.080380010297703804e-03,-1.380911908569261159e-01
6.557513914656771803e+00,4.765729328604279870e-05,-1.356003501520720023e-01
6.582560296846010850e+00,1.046728763644176781e-03,-1.317373360341637656e-01
6.607606679035250785e+00,2.009559764440323713e-03,-1.278219971146689338e-01
6.632653061224489832e+00,2.743687924628957463e-03,-1.227998994892863793e-01
6.657699443413728879e+00,3.479728119571714583e-03,-1.176294978162402416e-01
6.682745825602967926e+00,4.235490133703475983e-03,-1.116415110187062160e-01
6.707792207792207861e+00,4.985881597460605462e-03,-1.054067098336777114e-01
6.732838589981446908e+00,5.545940115253370287e-03,-9.865477023419913505e-02
6.757884972170685955e+00,6.106112688270914565e-03,-9.156224469767669516e-02
6.782931354359925891e+00,6.557486117629818603e-03,-8.425197757709390611e-02
6.807977736549164938e+00,7.006147393272443152e-03,-7.651859685089430763e-02
6.833024118738403985e+00,7.303124650515174961e-03,-6.885422704500245017e-02
6.858070500927643920e+00,7.587405204116724582e-03,-6.070171960304853592e-02
6.883116883116882967e+00,7.792986234659373540e-03,-5.288176322742545177e-02
6.908163265306122014e+00,7.986928792186667736e-03,-4.453084966648229726e-02
6.933209647495361949e+00,8.147571841003458867e-03,-3.674422108801003034e-02
6.958256029684600996e+00,8.300930695815066790e-03,-2.840948177209501671e-02
6.983302411873840043e+00,8.411477180751400495e-03,-2.083179288178747118e-02
7.008348794063079978e+00,8.509252079890915199e-03,-1.271608630072239808e-02
7.033395176252319025e+00,8.507147371065153924e-03,-5.506657790727570098e-03
7.058441558441558072e+00,8.466354685409358330e-03,2.202762355091455841e-03
7.083487940630798008e+00,8.325705977910656183e-03,8.902846158527226786e-03
7.108534322820037055e+00,8.136378683937831383e-03,1.603953338940477050e-02
7.133580705009276102e+00,7.800723610229654860e-03,2.211042706384070203e-02
7.158627087198516037e+00,7.377100954986821543e-03,2.853210108726468575e-02
7.183673469387755084e+00,6.849534587585846303e-03,3.387605084470891870e-02
7.208719851576994131e+00,6.245932541693435813e-03,3.946668288103047373e-02
7.233766233766234066e+00,5.677536840998097072e-03,4.400844140029611107e-02
7.258812615955473113e+00,5.140186644879515820e-03,4.868038118306706324e-02
7.283858998144712160e+00,4.447161764274129049e-03,5.236777063768496138e-02
7.308905380333952095e+00,3.589323070365765464e-03,5.606242872627439228e-02
7.333951762523191142e+00,2.652406637843163217e-03,5.886614281875549026e-02
7.358998144712430189e+00,1.615223246455170991e-03,6.155439566999796469e-02
7.384044526901669236e+00,6.269601201395473729e-04,6.346724809218357022e-02
7.409090909090909172e+00,-2.867866751688279928e-04,6.514832404930505361e-02
7.434137291280148219e+00,-1.193069037244174919e-03,6.618416137637385399e-02
7.459183673469387266e+00,-2.085552330219655505e-03,6.688418477820325114e-02
7.484230055658627201e+00,-2.938667705889814324e-03,6.707619070630395364e-02
7.509276437847866248e+00,-3.704021252523602339e-03,6.684520974119684267e-02
7.534322820037105295e+00,-4.460354849924092618e-03,6.624324669425274426e-02
7.559369202226345230e+00,-5.191823397229610240e-03,6.515315917293248993e-02
7.584415584415584277e+00,-5.869589687101892453e-03,6.382494049185828688e-02
7.609461966604823324e+00,-6.363237687747036291e-03,6.196692047354526722e-02
7.634508348794063259e+00,-6.814045937967096699e-03,5.999236157635835093e-02
7.659554730983302306e+00,-7.075831526650398946e-03,5.747128500039287019e-02
7.684601113172541353e+00,-7.323891939507155141e-03,5.494089991250691168e-02
7.709647495361781289e+00,-7.490476398365911691e-03,5.187213969403350194e-02
7.734693877551020336e+00,-7.629587615939496630e-03,4.888444397075356745e-02
7.759740259740259383e+00,-7.533125624827451822e-03,4.538968222837057309e-02
7.784786641929499318e+00,-7.422792342219717947e-03,4.204831403615484631e-02
7.809833024118738365e+00,-7.113573633434978720e-03,3.825179603895639824e-02
7.834879406307977412e+00,-6.801624685761323633e-03,3.466286742957364053e-02
7.859925788497217347e+00,-6.390198417848415302e-03,3.068758959474918863e-02
7.884972170686456394e+00,-5.978718709355103356e-03,2.695695554501213384e-02
7.910018552875695441e+00,-5.468948743373578357e-03,2.292132389015122396e-02
7.935064935064935376e+00,-4.957927158409815641e-03,1.915194890217870177e-02
7.960111317254174423e+00,-4.476889180977899722e-03,1.516662387110504981e-02
7.985157699443413470e+00,-3.997361555544221359e-03,1.145613801764276858e-02
8.010204081632652517e+00,-3.333883050411774306e-03,7.621511197855661626e-03
8.035250463821892453e+00,-2.652825399952353502e-03,4.059828590700761443e-03
8.060296846011130611e+00,-2.033450357086063857e-03,4.641284665251127158e-04
8.085343228200370547e+00,-1.422710063375905208e-03,-2.868046513026524871e-03
8.110389610389610482e+00,-8.725404799369199495e-04,-6.150428114568251906e-03
8.135435992578848641e+00,-3.338376451611825297e-04,-9.183789273794895971e-03
8.160482374768088576e+00,2.135897121164968241e-04,-1.209323120919448581e-02
8.185528756957328511e+00,7.631852014566893215e-04,-1.477078143141951141e-02
8.210575139146566670e+00,1.211471974293813585e-03,-1.726283724883840437e-02
8.235621521335806605e+00,1.629412534613949469e-03,-1.954080626859543840e-02
8.260667903525046540e+00,1.923265539002811091e-03,-2.158608669723850390e-02
8.285714285714284699e+00,2.172298437551205361e-03,-2.343436071394744066e-02
8.310760667903524634e+00,2.408232175044864622e-03,-2.501808518703966047e-02
8.335807050092764570e+00,2.638574467672512563e-03,-2.642023131141141637e-02
8.360853432282002728e+00,2.849548306320684021e-03,-2.754126017178556984e-02
8.385899814471242664e+00,3.050841067602671174e-03,-2.849414275856426357e-02
8.410946196660482599e+00,3.294843956628727179e-03,-2.916381887252422409e-02
8.435992578849720758e+00,3.563607082964604256e-03,-2.967681602649644215e-02
8.461038961038960693e+00,3.658207635802082983e-03,-2.991745618811091426e-02
8.486085343228200628e+00,3.636803675858202387e-03,-3.001143872522643238e-02
8.511131725417438787e+00,3.658482698841786316e-03,-2.985462412968628923e-02
8.536178107606678722e+00,3.712965723615372846e-03,-2.956026764354776834e-02
8.561224489795918657e+00,3.742559191767179730e-03,-2.904536909474483494e-02
8.586270871985156816e+00,3.750578969292235956e-03,-2.840250300035483330e-02
8.611317254174396751e+00,3.676049085373108566e-03,-2.757496897865557156e-02
8.636363636363636687e+00,3.520295086716525995e-03,-2.662985877344762817e-02
8.661410018552874845e+00,3.359530421593020372e-03,-2.553909119261817129e-02
8.686456400742114781e+00,3.193181153015127709e-03,-2.434290144999768160e-02
8.711502782931354716e+00,3.004792459206268116e-03,-2.304070479094865939e-02
8.736549165120592875e+00,2.788586818596982750e-03,-2.164760177121529544e-02
8.761595547309832810e+00,2.598000310684529367e-03,-2.018661841698769083e-02
8.786641929499072745e+00,2.444045578098451212e-03,-1.865194665258243165e-02
8.811688311688310904e+00,2.241734267087644970e-03,-1.708419470145592159e-02
8.836734693877550839e+00,1.961062390243442557e-03,-1.546271114996534968e-02
8.861781076066790774e+00,1.666454314414321774e-03,-1.383827713203476806e-02
8.886827458256028933e+00,1.346206660391337934e-03,-1.218255411402207299e-02
8.911873840445268868e+00,1.019298195298120853e-03,-1.054848095393582687e-02
8.936920222634508804e+00,6.784407032665372254e-04,-8.907501024113608640e-03
8.961966604823746962e+00,2.949654676124980994e-04,-7.306848905369593868e-03
8.987012987012986898e+00,-1.909099377245180012e-04,-5.724826547428962104e-03
9.012059369202226833e+00,-6.006922350943250848e-04,-4.195916179231152544e-03
9.037105751391464992e+00,-7.996365490573749228e-04,-2.711359335691046132e-03
9.062152133580704927e+00,-1.012712148166940770e-03,-1.287287090143997975e-03
9.087198515769944862e+00,-1.271218915092918065e-03,6.757634330683546565e-05
9.112244897959183021e+00,-1.542006873556821343e-03,1.359393310077663172e-03
9.137291280148422956e+00,-1.859134145397089467e-03,2.559159448713611926e-03
9.162337662337662891e+00,-2.157176560441650352e-03,3.697182230879102107e-03
9.187384044526901050e+00,-2.369243642408821061e-03,4.723346063609015419e-03
9.212430426716140985e+00,-2.577066798882323827e-03,5.691930247658838309e-03
9.237476808905380921e+00,-2.761620967321062881e-03,6.532796701523429193e-03
9.262523191094619079e+00,-2.920128931504740663e-03,7.322067743495161950e-03
9.287569573283859015e+00,-2.900950039985808731e-03,7.972440993087632002e-03
9.312615955473098950e+00,-2.874888041677598361e-03,8.578066177804377634e-03
9.337662337662337109e+00,-2.787865926503308150e-03,9.038778223647883983e-03
9.362708719851577044e+00,-2.701150391986643917e-03,9.461598484209712140e-03
9.387755102040816979e+00,-2.618276664911141881e-03,9.738881718730439327e-03
9.412801484230055138e+00,-2.528187069953647358e-03,9.984455523660566018e-03
9.437847866419295073e+00,-2.299607734826193337e-03,1.008920415289033846e-02
9.462894248608535008e+00,-2.069875052840839877e-03,1.016727240063398235e-02
9.487940630797773167e+00,-1.793890867657018740e-03,1.011424429894552598e-02
9.512987012987013102e+00,-1.517886039183138479e-03,1.003808980313453808e-02
9.538033395176253038e+00,-1.254186276518367681e-03,9.844994555825775304e-03
9.563079777365491196e+00,-9.904820638842802387e-04,9.630884151238656293e-03
9.588126159554731132e+00,-6.512761045357451893e-04,9.317740801364538666e-03
9.613172541743971067e+00,-3.100222882702474833e-04,8.984243612321691011e-03
9.638218923933209226e+00,-1.232923152691080184e-04,8.572361233214550666e-03
9.663265306122449161e+00,5.519751650403278802e-05,8.139607844058994665e-03
9.688311688311689096e+00,3.321734072501230078e-04,7.650873045378675519e-03
9.713358070500927255e+00,6.171523474981367545e-04,7.139931544709693552e-03
9.738404452690167190e+00,8.509073691155976012e-04,6.596112593987338811e-03
9.763450834879407125e+00,1.079048018913059473e-03,6.028343398087046209e-03
9.788497217068645284e+00,1.299007341915643828e-03,5.450472788026552474e-03
9.813543599257885219e+00,1.517835009136620861e-03,4.846940015065441185e-03
9.838589981447125155e+00,1.639287804416789162e-03,4.254792028804036709e-03
9.863636363636363313e+00,1.744077567337473135e-03,3.635710873232537825e-03
9.888682745825601472e+00,1.887509485708815287e-03,3.047375840652518254e-03
9.913729128014843184e+00,2.038826195591098098e-03,2.431637492438845725e-03
9.938775510204081343e+00,2.034222367268415359e-03,1.863184952074754472e-03
9.963821892393319501e+00,1.992514584814554339e-03,1.267933898850356726e-03
9.988868274582561213e+00,1.933350781478253982e-03,7.331957130988117329e-04
1.001391465677179937e+01,1.869407662335387937e-03,1.735027032114759679e-04
1.003896103896103753e+01,1.809392313285079030e-03,-3.160743184331855373e-04
1.006400742115027924e+01,1.750595748295783816e-03,-8.274383530735533602e-04
1.008905380333951740e+01,1.619633474118963370e-03,-1.262827038277190015e-03
1.011410018552875556e+01,1.463402651674818641e-03,-1.715596986680553888e-03
1.013914656771799727e+01,1.315662002238087097e-03,-2.090201605433846584e-03
1.016419294990723543e+01,1.171236268309854781e-03,-2.476682932999235611e-03
1.018923933209647359e+01,1.016976640689173754e-03,-2.786241925037997221e-03
1.021428571428571530e+01,8.584422910360559912e-04,-3.101329165374757616e-03
1.023933209647495346e+01,6.149044164998052325e-04,-3.343782575071339511e-03
1.026437847866419162e+01,3.306056377617269844e-04,-3.584877394932478416e-03
1.028942486085343333e+01,1.293940177268244722e-04,-3.760183383351026545e-03
1.031447124304267149e+01,-2.802918186728259862e-05,-3.927066078433175643e-03
1.033951762523190965e+01,-1.333867837808376902e-04,-4.036978691619634921e-03
1.036456400742115136e+01,-2.086890450044316800e-04,-4.131593798683843265e-03
1.038961038961038952e+01,-3.647827314074159337e-04,-4.179438257072328432e-03
1.041465677179962768e+01,-5.718036629219536192e-04,-4.205669338772494853e-03
1.043970315398886939e+01,-6.895900799342382812e-04,-4.196087100515008030e-03
1.046474953617810755e+01,-7.461334488924731669e-04,-4.159470098136732429e-03
1.048979591836734571e+01,-8.155403076016925048e-04,-4.098184986942098734e-03
1.051484230055658564e+01,-8.945397306327142369e-04,-4.005607776354296393e-03
1.053988868274582558e+01,-9.663928040051216481e-04,-3.899150265707414503e-03
1.056493506493506551e+01,-1.032468574175969067e-03,-3.758522782366778819e-03
1.058998144712430367e+01,-1.079756870445538423e-03,-3.613997788009022921e-03
1.061502782931354361e+01,-1.110600359829622043e-03,-3.433908226945054168e-03
1.064007421150278354e+01,-1.155548596692157655e-03,-3.258736950702745185e-03
1.066512059369202170e+01,-1.213845677813048815e-03,-3.048148042701377680e-03
1.069016697588126164e+01,-1.286927739270298399e-03,-2.849867220797843402e-03
1.071521335807050157e+01,-1.375122648767464120e-03,-2.617799033850619003e-03
1.074025974025973973e+01,-1.413395395046886495e-03,-2.403856578124107836e-03
1.076530612244897966e+01,-1.396596063500383936e-03,-2.159125996660264321e-03
1.079035250463821960e+01,-1.394260520945674216e-03,-1.936703044552526070e-03
1.081539888682745776e+01,-1.409134918112818447e-03,-1.687649327548576203e-03
1.084044526901669769e+01,-1.377869233432794244e-03,-1.463498900432167989e-03
1.086549165120593585e+01,-1.287409251353660534e-03,-1.217786287727254564e-03
1.089053803339517579e+01,-1.191482563502513749e-03,-9.980796167094753944e-04
1.091558441558441572e+01,-1.087996752521140382e-03,-7.625036406303736065e-04
1.094063079777365388e+01,-9.639232337936728913e-04,-5.527436831049086473e-04
1.096567717996289382e+01,-8.091525334852505986e-04,-3.331195073738649204e-04
1.099072356215213375e+01,-6.793101636883200865e-04,-1.380397371735479913e-04
1.101576994434137191e+01,-5.895612207907547676e-04,6.087974191161573805e-05
1.104081632653061185e+01,-5.634061481006347486e-04,2.373531733705715229e-04
1.106586270871985178e+01,-6.476026638872081718e-04,4.119231005252671127e-04
1.109090909090908994e+01,-5.952306727243080950e-04,5.667284874024179717e-04
1.111595547309832988e+01,-2.869741429021615740e-04,7.144210091575566805e-04
1.114100185528756981e+01,6.290779315907086492e-05,8.453683107804504070e-04
1.116604823747680797e+01,4.970698546517131637e-04,9.647477902226242723e-04
1.119109461966604790e+01,7.736579823918043755e-04,1.070513650848010402e-03
1.121614100185528784e+01,7.049080621615909457e-04,1.161153089818380002e-03
1.124118738404452600e+01,6.593151277458849952e-04,1.241238685444109001e-03
1.126623376623376593e+01,6.687248845908640897e-04,1.303637382443834916e-03
1.129128014842300587e+01,6.931730641175375043e-04,1.358311159090004258e-03
1.131632653061224403e+01,7.563993195130056186e-04,1.393768481437426474e-03
1.134137291280148396e+01,8.272533127988495553e-04,1.424003739228198910e-03
1.136641929499072390e+01,9.195039055935873241e-04,1.434503940403485719e-03
1.139146567717996206e+01,9.878414027450193452e-04,1.441890794549021554e-03
1.141651205936920199e+01,9.829793571866181009e-04,1.429963177791536075e-03
1.144155844155844193e+01,9.925167224185170792e-04,1.416620241153309073e-03
1.146660482374768009e+01,1.050276877249840205e-03,1.385202016085868406e-03
1.149165120593692002e+01,1.115591911295750862e-03,1.353660978766570632e-03
1.151669758812615996e+01,1.208681843054700130e-03,1.305956459552527369e-03
1.154174397031539812e+01,1.255266772480202308e-03,1.259057093791955814e-03
1.156679035250463805e+01,1.113266198041908519e-03,1.198402889225984834e-03
1.159183673469387799e+01,9.787999502366827743e-04,1.139174987018903851e-03
1.161688311688311614e+01,8.782113479307301776e-04,1.068925397420714043e-03
1.164192949907235608e+01,7.846712468106983125e-04,1.000486030472436507e-03
1.166697588126159602e+01,7.264593701382811818e-04,9.239038171829468604e-04
1.169202226345083417e+01,6.452787793551726259e-04,8.493509715014870226e-04
1.171706864564007411e+01,4.348954213128711764e-04,7.695176049722772960e-04
1.174211502782931404e+01,2.462574022095103234e-04,6.918335085131189707e-04
1.176716141001855220e+01,1.962514831641662709e-04,6.115705124108652318e-04
1.179220779220779214e+01,1.525377960596257230e-04,5.335357266975315977e-04
1.181725417439703207e+01,1.547677144686251493e-04,4.553474525411682107e-04
1.184230055658627023e+01,1.539957394049211393e-04,3.794690493480009546e-04
1.186734693877551017e+01,1.277728944727788405e-04,3.055021456603636840e-04
1.189239332096475010e+01,8.965451915098548519e-05,2.339585661163906484e-04
1.191743970315398826e+01,-6.773383244142272921e-05,1.659779962708669246e-04
