											
	2	0.0624487649	0.3048646224	0.3340144166	0.160270655	0.2580886203	0.015612191225	0.0762161556	0.08350360415	0.04006766375	0.064522155075
	2.05	0.0697670636	0.2896635362	0.3132412442	0.118520506	0.2620197226	0.0166013238786437	0.0689264809518144	0.0745368814277216	0.0282023809637121	0.0623485360142772
	2.1	0.0761198078	0.2670739238	0.2822908734	0.073124758	0.2563367798	0.0172607273922902	0.0605609804535147	0.0640115359183673	0.0165815777777778	0.0581262539229025
	2.15	0.0815668252	0.2372479114	0.2428540091	0.024957082	0.2413969463	0.0176456084802596	0.0513245887290427	0.0525373735208221	0.0053990442401298	0.0522221625310979
	2.2	0.0861640201	0.2005545032	0.1968682610	-0.024995718	0.2179974684	0.0178024834917355	0.0414368808264463	0.0406752605371901	-0.00516440454545454	0.0450407992561983
	2.25	0.0909124508	0.1554285171	0.1447463197	-0.077234866	0.1881771296	0.0179580149728395	0.0307019293037037	0.0285918656197531	-0.0152562698271605	0.0371707910320988
	2.3	0.0932673202	0.1070329437	0.0913410970	-0.128404121	0.1518580037	0.0176308733837429	0.0202330706427221	0.0172667480151229	-0.0242729907372401	0.0287066169565217
	2.35	0.0929392154	0.0573616538	0.0390747196	-0.176627402	0.1116589767	0.0168291924671797	0.0103868997374378	0.00707554904481666	-0.0319832325939339	0.0202189183703033
	2.4	0.0897180932	0.0085756600	-0.0098237692	-0.219900068	0.0703894170	0.0155760578472222	0.00148882986111111	-0.00170551548611111	-0.0381770951388889	0.0122203848958333
	2.45	0.0839743746	-0.0462473075	-0.0636791086	-0.258465284	0.0265114206	0.0139898999750104	-0.00770467430237401	-0.0106087644481466	-0.0430596058309038	0.00441672979591837
	2.5	0.0742206477	-0.1026764360	-0.1168798769	-0.2936600899	-0.0198054478	0.011875303632	-0.01642822976	-0.018700780304	-0.046985614384	-0.003168871648
	2.55	0.0603480043	-0.1593583403	-0.1684493148	-0.3247970318	-0.0665901217	0.00928073883890811	-0.0245072418762015	-0.0259053156170704	-0.0499495627527874	-0.0102406953787005
	2.6	0.0424113225	-0.2148420885	-0.2175510041	-0.3511882334	-0.1118889393	0.00627386427514793	-0.0317813740384615	-0.0321821011982249	-0.0519509221005917	-0.016551618239645
	2.65	0.0194857589	-0.2709527723	-0.2662295841	-0.3706177556	-0.1615880171	0.00277476096831613	-0.0385835204414382	-0.0379109411320755	-0.0527757572944108	-0.0230100415948736
	2.7	-0.0070015114	-0.3235074819	-0.3111525890	-0.3843102696	-0.2063330227	-0.000960426803840878	-0.0443768836625514	-0.0426821109739369	-0.0527174581069959	-0.028303569643347
	2.75	-0.0364495306	-0.3708542797	-0.3517530947	-0.3920068900	-0.2437888933	-0.00481977264132231	-0.0490385824396694	-0.0465128059107438	-0.0518356218181818	-0.0322365478743802
	2.8	-0.0680348329	-0.4113594547	-0.3874309110	-0.3934647082	-0.2719400926	-0.00867791235969388	-0.0524693182015306	-0.0494172080357143	-0.0501868250255102	-0.0346862363010204
	2.85	-0.1008677139	-0.4449587269	-0.4181562667	-0.3889619758	-0.2945766783	-0.0124183088827331	-0.0547810066974454	-0.0514812270483226	-0.04788697763004	-0.0362667501754386
	2.9	-0.1334003989	-0.4684872590	-0.4420750830	-0.3814846883	-0.3034773670	-0.0158621163971463	-0.0557059760998811	-0.0525654082045184	-0.0453608428418549	-0.0360852992865636
	2.95	-0.1642434173	-0.4805766187	-0.4581692846	-0.3706950186	-0.2974313682	-0.0188731303993105	-0.0552228231772479	-0.0526480074231543	-0.0425963824877909	-0.0341776924102269
